Timestamp,Choose your gender,Age,Your current year of Study,Living Situation,  Dietary Habit  ,Do you use or have you ever used Nicotine?,Part-time working hours per week,  Academic Pressure   [I feel exhausted by the amount of coursework I have.],  Academic Pressure   [I often feel stressed before or during exams.],  Academic Pressure   [I worry that I will not meet my academic expectations.],  Academic Pressure   [I feel I need to reduce my sleep and entertainment time to keep up with my studies.],  Financial Stress   [I worry about having enough money to cover my basic living expenses.],  Financial Stress   [My family has difficulty affording my tuition and university fees.],  Financial Stress   [My family is currently facing financial difficulties.],Family Pressure [My family has very high expectations for my academic performance.],Family Pressure [I feel stressed because my grades might disappoint my family.],  Study Satisfaction   [I am not satisfied with what I am learning in my program.],  Study Satisfaction   [I often regret choosing my current major/program.],  Study Satisfaction   [I do not feel fully satisfied with my experience at this university],  Sleep Duration(hours)  ,Do you have Anxiety?,Do you have Depression?,"Have you had problems with Short-term Memory (e.g., forgetting recent conversations, misplacing items, or what you just studied)?  ",  Family history of mental illness  ,Self-harm or Suicidal Ideation (last 12 months) ,"Have you ever seriously considered leaving university (e.g., taking a leave of absence for ≥1 semester or permanently withdrawing)?  "
11/26/2025 9:05:16,Male,18-19,1,On-campus Dorm,Moderate,No,None,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,7–8,Yes — suspected/undocumented,Yes — suspected/undocumented,2,No,No,No
11/26/2025 9:30:52,Male,20-22,3,On-campus Dorm,Moderate,No,None,Agree,Strongly agree,Agree,Neutral,Disagree,Disagree,Disagree,Neutral,Strongly agree,Neutral,Agree,Neutral,5–6,Yes — suspected/undocumented,Yes — suspected/undocumented,3,Unsure,Yes,Yes
11/26/2025 12:19:27,Male,23+,1,Alone (renting),Moderate,Yes,9–14,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,5–6,No,No,1,Unsure,No,No
11/26/2025 13:51:42,Female,18-19,1,On-campus Dorm,Moderate,No,1–8,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Agree,Disagree,7–8,No,No,1,No,No,No
11/26/2025 13:58:19,Male,20-22,4,On-campus Dorm,Moderate,Yes,15–19,Disagree,Neutral,Disagree,Agree,Neutral,Disagree,Disagree,Agree,Neutral,Neutral,Strongly disagree,Strongly disagree,7–8,Yes — suspected/undocumented,No,2,No,No,No
11/26/2025 14:34:06,Male,18-19,1,On-campus Dorm,Moderate,No,1–8,Agree,Agree,Strongly agree,Strongly agree,Neutral,Agree,Agree,Strongly agree,Agree,Disagree,Strongly disagree,Disagree,7–8,Yes — suspected/undocumented,Yes — suspected/undocumented,4,No,No,No
11/26/2025 18:45:23,Female,23+,4,With parents/relatives,Healthy (mostly balanced meals),No,20+,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Agree,7–8,Yes — suspected/undocumented,Yes — suspected/undocumented,4,Unsure,Yes,No
11/27/2025 9:37:36,Male,23+,4,Shared apartment/house (roommates),Healthy (mostly balanced meals),No,None,Neutral,Strongly agree,Strongly agree,Agree,Strongly disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,7–8,No,No,2,No,No,No
11/27/2025 9:45:44,Female,18-19,1,On-campus Dorm,Moderate,No,None,Neutral,Agree,Strongly agree,Neutral,Neutral,Disagree,Strongly disagree,Neutral,Neutral,Disagree,Strongly disagree,Strongly disagree,5–6,Yes — suspected/undocumented,No,5,No,No,No
11/27/2025 10:31:49,Male,18-19,1,On-campus Dorm,Healthy (mostly balanced meals),No,None,Disagree,Strongly disagree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Strongly agree,Neutral,Disagree,Disagree,7–8,No,No,3,No,No,No
11/27/2025 13:43:24,Male,18-19,1,On-campus Dorm,Moderate,No,None,Strongly disagree,Disagree,Agree,Neutral,Strongly agree,Strongly agree,Neutral,Strongly disagree,Strongly disagree,Neutral,Agree,Agree,5–6,Yes — suspected/undocumented,Yes — suspected/undocumented,5,Unsure,No,No
11/27/2025 14:55:00,Female,20-22,3,On-campus Dorm,Moderate,No,None,Agree,Neutral,Strongly agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,7–8,Yes — suspected/undocumented,No,1,No,No,No
11/27/2025 20:42:42,Male,23+,4,With parents/relatives,Moderate,Yes,20+,Agree,Disagree,Agree,Agree,Neutral,Disagree,Neutral,Strongly disagree,Strongly disagree,Neutral,Disagree,Strongly disagree,7–8,No,No,4,Unsure,No,No
11/27/2025 22:55:50,Female,18-19,1,On-campus Dorm,Moderate,No,None,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Neutral,Neutral,Neutral,5–6,Yes — suspected/undocumented,Yes — suspected/undocumented,4,No,Yes,>= 1 semester
11/28/2025 16:43:09,Male,18-19,1,On-campus Dorm,Moderate,No,None,Neutral,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Neutral,Agree,Disagree,Disagree,Neutral,5–6,Yes — suspected/undocumented,Yes — suspected/undocumented,4,Unsure,No,No
12/11/2025 8:54:09,Male,18-19,2,On-campus Dorm,Moderate,No,1–8,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Strongly agree,Neutral,Neutral,Neutral,5–6,Yes — suspected/undocumented,No,3,No,No,Yes
12/11/2025 8:54:26,Male,18-19,2,With parents/relatives,Moderate,No,None,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Strongly disagree,Disagree,7–8,No,No,3,No,No,No
12/11/2025 8:55:49,Male,20-22,2,On-campus Dorm,Healthy (mostly balanced meals),No,None,Neutral,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Agree,Neutral,Agree,Strongly agree,Neutral,Disagree,Disagree,7–8,Yes — suspected/undocumented,No,4,No,No,No
12/11/2025 8:56:12,Male,18-19,2,Alone (renting),Unhealthy (frequent fast/processed foods),No,None,Strongly agree,Strongly agree,Agree,Disagree,Neutral,Disagree,Disagree,Strongly agree,Strongly agree,Agree,Neutral,Neutral,5–6,Yes — suspected/undocumented,Yes — suspected/undocumented,3,No,No,No
12/11/2025 9:03:28,Male,20-22,2,With parents/relatives,Healthy (mostly balanced meals),No,1–8,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,5–6,Yes — diagnosed by a professional,No,2,No,No,No
12/11/2025 11:22:29,Female,18-19,2,With parents/relatives,Moderate,No,None,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,7–8,Yes — diagnosed by a professional,Yes — suspected/undocumented,4,Yes,No,Yes
12/11/2025 11:25:00,Female,18-19,2,With parents/relatives,Moderate,No,None,Agree,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Disagree,Disagree,7–8,Yes — suspected/undocumented,Yes — suspected/undocumented,3,No,No,No
12/11/2025 11:25:10,Male,18-19,2,With parents/relatives,Healthy (mostly balanced meals),No,None,Agree,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Disagree,Strongly disagree,Disagree,7–8,Yes — suspected/undocumented,Yes — suspected/undocumented,3,No,No,No
12/11/2025 11:25:20,Male,18-19,2,With parents/relatives,Moderate,No,1–8,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Strongly disagree,Agree,Strongly disagree,Strongly disagree,5–6,Yes — suspected/undocumented,No,3,Unsure,No,No
12/11/2025 11:25:21,Male,18-19,2,With parents/relatives,Healthy (mostly balanced meals),No,1–8,Neutral,Neutral,Strongly disagree,Neutral,Neutral,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,5–6,No,No,2,No,No,No
12/11/2025 11:25:41,Female,18-19,2,With parents/relatives,Moderate,No,None,Agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Disagree,Neutral,Agree,Neutral,Neutral,Disagree,5–6,Yes — suspected/undocumented,No,3,Unsure,No,No
12/11/2025 11:27:53,Male,20-22,2,With parents/relatives,Healthy (mostly balanced meals),No,1–8,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,5–6,Yes — suspected/undocumented,Yes — suspected/undocumented,3,No,No,No
12/11/2025 11:30:26,Male,18-19,2,On-campus Dorm,Moderate,No,None,Neutral,Strongly agree,Strongly agree,Strongly agree,Disagree,Neutral,Neutral,Strongly agree,Strongly agree,Agree,Disagree,Disagree,5–6,Yes — suspected/undocumented,No,3,No,No,>= 1 semester
12/11/2025 14:38:50,Male,18-19,2,With parents/relatives,Healthy (mostly balanced meals),No,None,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,7–8,Yes — diagnosed by a professional,Yes — diagnosed by a professional,3,Unsure,Yes,Yes
12/11/2025 14:39:01,Male,20-22,4,With parents/relatives,Moderate,No,15–19,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,5–6,No,No,4,No,No,No
12/11/2025 14:46:54,Male,18-19,2,On-campus Dorm,Healthy (mostly balanced meals),No,None,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,Agree,7–8,No,No,2,No,No,No
